,Unnamed: 0,species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,transfers,currently,status,statusDate,COD,entryDate,timespent
508,509,Bottlenose,"NOA0005617, AZA 583, SWC-TT-9626",Haley,F,actual,1996,Born,1996-07-15,SeaWorld San Diego,SeaWorld San Diego to Discovery Cove (02-Apr-2000),Discovery Cove,Died,2005-10-15,"severe, chronic tracheobronchitis",1996-07-15,3379.0
509,510,Bottlenose,"NOA0005859, AZA 673, SWC-TT-9928",Copper,F,actual,1999,Born,1999-08-04,SeaWorld San Diego,SeaWorld San Diego to Discovery Cove (04-Apr-2004) to Discovery Cove (12-Jul-2013) to  () to  () to  (),Discovery Cove,Died,2013-07-12,Peripartum cardiomyopathy,1999-08-04,5091.0
510,511,Bottlenose,"NOA006134, AZA ????, HBOI-TT-0213",Lazarus,M,estimate,,Rescue,2002-07-19,"Ponce Inlet, FL","Ponce Inlet, Florida to Harbor Branch Institute (19-Jul-2002) to SeaWorld Orlando (18-Sep-2003) to Discovery Cove (??-???-????)",Discovery Cove,Died,2005-04-12,pulmonary inhalation of water; drowning,2002-07-19,998.0
511,512,Bottlenose,"NOA0006581, AZA 1359, SWF-TT-0908",Amelia,F,actual,2009,Born,2009-09-02,Discovery Cove,,Discovery Cove,Died,2011-08-09,jejunal hemorrhage,2009-09-02,706.0
512,513,Bottlenose,"NOA0010371, AZA ????, SWF-TT-1606",Nero,M,actual,2016,Born,2016-08-07,Discovery Cove,,Discovery Cove,Died,2016-11-29,Acute reaction to vaccine,2016-08-07,114.0
513,514,Bottlenose,"NOA0010373, AZA ????, SWF-TT-1607",Star,F,actual,2016,Born,2016-08-14,Discovery Cove,,Discovery Cove,Died,2016-10-15,Failure to thrive,2016-08-14,62.0
514,515,Bottlenose,"NOA0000690, AZA 35, 910050 (ISIS)",Pepper,M,estimate,1963,Capture,1969-01-15,"Atlantic Ocean, FL","Florida, Unknown to Quinlan Marine Attractions (15-Jan-1969) to Busch Gardens Tampa (??-Jul-1979) to Dolphin Connection (15-Feb-1991?)",Dolphin Connection,Died,1995-06-26,Euthanasia,1969-01-15,9658.0
515,516,Bottlenose,"NOA0000665, AZA 125, 0499M (CZS)",Nemo,M,estimate,1973,Capture,1976-01-25,"Atlantic Ocean, FL","Florida, Atlantic Ocean to Dolphin Research Center (25-Jan-1976) to Brookfield Zoo (13-Mar-1976) to Dolphin Connection (29-Apr-1999)",Dolphin Connection,Died,2012-12-12,"Myocarditis, myocardial abscess",1976-01-25,13471.0
516,517,Bottlenose,"NOA0000692, AZA 182, 910052 (ISIS)",Schooner,F,estimate,1976,Capture,1981-09-02,"Texas, Gulf of Mexico","Texas, Gulf of Mexico to Quinlan Marine Attractions (02-Sep-1981) to National Aquarium in Baltimore (23-Oct-1990) to Dolphin Connection (17-Nov-1990)",Dolphin Connection,Died,1994-10-02,Euthanasia,1981-09-02,4778.0
517,518,Bottlenose,"NOA0000695, AZA 183, SWF-TT-8602, 920002 (ISIS)",Rebel,M,estimate,1978,Capture,1982-10-27,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to Dinnes, Marty (Hawks Cay?) (27-Oct-1982) to SeaWorld Orlando (26-Feb-1986) to Dolphin Connection (07-Jan-1992)",Dolphin Connection,Died,1994-09-29,Pneumonia,1982-10-27,4355.0
518,519,Bottlenose,"NOA0005006, AZA 276",Colebar,M,estimate,1981,Capture,1984-08-06,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy (27-Aug-1984) to Dolphin Connection (12-Mar-1997)",Dolphin Connection,Died,1997-07-13,Respiratory cryptococcosis,1984-08-06,4724.0
519,520,Bottlenose,"NOAA0005074, AZA 331, 03971M (CZS)",Sebastianwil,M,estimate,1983,Capture,1988-09-08,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy (15-Sep-1988) to Dolphin Connection (12-Mar-1997)",Dolphin Connection,Died,2012-04-12,Complications from pneumonia,1988-09-08,8617.0
520,521,Bottlenose,"NOA0002130, 11895501M",Benni,M,estimate,1986,Capture,1989-11-26,Florida Keys,Florida Keys to Dolphin Connection (26-Nov-1989),Dolphin Connection,Died,1990-02-14,Staphylococcal pneumonia,1989-11-26,80.0
521,522,Bottlenose,"NOA0000689, AZA 439, 910049",Akeakamai,F,actual,1990,Born,1990-03-31,Dolphin Connection,,Dolphin Connection,Died,1998-06-06,-,1990-03-31,2989.0
522,523,Bottlenose,"NOA0005650, AZA 554",Dolber's Calf,F,actual,1995,Stillbirth,1995-06-16,Dolphin Connection,,Dolphin Connection,Stillbirth,1995-06-16,-,1995-06-16,0.0
523,524,Bottlenose,"NOA0005949, AZA 778, 675 (CZS)",Wilson,M,actual,2001,Born,2001-04-18,Dolphin Connection,"Dolphin Connection to Open Sea, Escaped from Pen (08-Jan-2008)",Dolphin Connection,Escaped (Found Dead),2008-01-16,Presumed starvation,2001-04-18,2464.0
524,525,Bottlenose,"NOA0003748, AZA 380, F88M-1 (Dolphin Quest)",Hobi,M,estimate,1985,Capture,1988-02-17,"Gulf of Mexico, FL, US","Florida, Gulf of Mexico to Unknown Holding (17-Feb-1988) to Dolphin Quest Hawaii (20-Aug-1988)",Dolphin Quest Hawai'i,Died,1999-07-26,Acute septicemia,1988-02-17,4177.0
525,526,Bottlenose,"NOA0003747, AZA 377, F88F-1 (Dolphin Quest)",Leilani,F,estimate,1985,Capture,1988-02-17,"Gulf of Mexico, FL, US","Florida, Gulf of Mexico to Unknown Holding (17-Feb-1988) to Dolphin Quest Hawaii (20-Aug-1988)",Dolphin Quest Hawai'i,Died,1999-10-04,Kidney obstruction,1988-02-17,4247.0
526,527,Bottlenose,NOA0003752,Kai,M,estimate,1985,Capture,1988-02-26,"Gulf of Mexico, FL, US","Florida, Gulf of Mexico to Unknown Holding (17-Feb-1988) to Dolphin Quest Hawaii (20-Aug-1988)",Dolphin Quest Hawai'i,Died,1989-04-09,Toxins (NA+ channel blockers),1988-02-26,408.0
527,528,Bottlenose,NOA0003750,Yoichi,M,estimate,1985,Capture,1988-02-26,"Gulf of Mexico, FL, US","Florida, Gulf of Mexico to Unknown Holding (17-Feb-1988) to Dolphin Quest Hawaii (20-Aug-1988)",Dolphin Quest Hawai'i,Died,1989-03-16,Toxins (NA+ channel blockers),1988-02-26,384.0
528,529,Bottlenose,"NOA0003753, AZA 535",Pele's Calf,F,actual,1994,Stillbirth,1994-07-01,Dolphin Quest Hawaii,,Dolphin Quest Hawai'i,Stillbirth,1994-07-01,-,1994-07-01,0.0
529,530,Bottlenose,"NOA0005591, AZA 563, AU95F1",Malia,F,actual,1995,Born,1995-08-21,Dolphin Quest Hawaii,,Dolphin Quest Hawai'i,Died,2000-10-25,Intestinal torsion,1995-08-21,1892.0
530,531,Bottlenose,AZA 590,Shaka's Calf,F,actual,1996,Stillbirth,1996-09-26,Dolphin Quest Hawaii,,Dolphin Quest Hawai'i,Stillbirth,1996-09-26,-,1996-09-26,0.0
531,532,Bottlenose,"NOA0005708, AZA 630, OCT97M1",Hanale,M,actual,1997,Born,1997-10-25,Dolphin Quest Hawaii,,Dolphin Quest Hawai'i,Died,2002-12-28,-,1997-10-25,1890.0
532,533,Bottlenose,"NOA0005710, AZA 1075, 97F-1",Shaka's Calf,U,actual,1997,Born,1997-11-03,Dolphin Quest Hawaii,,Dolphin Quest Hawai'i,Died,1997-11-19,Trauma,1997-11-03,16.0
533,534,Bottlenose,"NOA0005767, AZA 642, 598M-1",Somers,M,actual,1998,Born,1998-05-22,Dolphin Quest Bermuda,Dolphin Quest Bermuda to Dolphin Quest Hawaii (03-Mar-2010),Dolphin Quest Hawai'i,Died,2010-04-23,Septicemia,2010-03-03,4354.0
534,535,Bottlenose,AZA 722,Shaka's Calf,F,actual,2000,Stillbirth,2000-09-01,Dolphin Quest Hawaii,,Dolphin Quest Hawai'i,Stillbirth,2000-09-01,-,2000-09-01,0.0
535,536,Bottlenose,AZA 1084,Poliahu's Calf,F,actual,2001,Stillbirth,2001-03-15,Dolphin Quest Hawaii,,Dolphin Quest Hawai'i,Stillbirth,2001-03-15,-,2001-03-15,0.0
536,537,Bottlenose,AZA 1086,Iwa's Calf,F,actual,2002,Stillbirth,2001-03-27,Dolphin Quest Hawaii,,Dolphin Quest Hawai'i,Stillbirth,2001-03-27,-,2001-03-27,0.0
538,539,Bottlenose,"NOA0010384, 1216M1",Hali’a’s Calf,M,actual,2016,Born,2016-12-02,Dolphin Quest Hawaii,,Dolphin Quest Hawai'i,Died,2016-12-05,-,2016-12-02,3.0
539,540,Bottlenose,"NOA0004383, AZA 675, IDR-72-1",Mr. Gipper,M,estimate,1949,Capture,1959-01-01,Florida Keys,Florida Keys to Dolphin Research Center (1960s),Dolphin Research Center,Died,1985-06-09,Pneumonia & complications of old age,1959-01-01,9656.0
540,541,Bottlenose,"NOA0004414, AZA 23, TT-013 (Navy), DRC-88-3",Josephine,F,estimate,1959,Capture,1963-01-01,"Atlantic Ocean, FL?","Florida, Atlantic Ocean? to U.S. Navy MMP (??-???-1963) to Long Marine Laboratory (11-Jul-1986) to Dolphin Research Center (30-Jun-1988)",Dolphin Research Center,Died,2003-01-13,Euthanasia,1963-01-01,14622.0
541,542,Bottlenose,NOA0004372,Charlie,M,estimate,1961,Capture,1964-01-01,Florida Keys,Florida Keys to Dolphin Research Center (1960s),Dolphin Research Center,Died,1973-03-26,Bacterial septicemia,1964-01-01,3372.0
542,543,Bottlenose,"NOA0004382, AZA 20, IDR-72-2",Little Bit,F,estimate,1958,Capture,1964-01-01,Florida Keys,Florida Keys to Dolphin Research Center (??-???-1964),Dolphin Research Center,Died,1991-02-18,Toxemia associated with left ovarian tumor,1964-01-01,9910.0
543,544,Bottlenose,"NOA0004373, 007 (Flipper's Sea School)",Patty,F,estimate,,Capture,1964-01-01,Florida,"Florida, Unknown to Unknown Florida Facility, possible DRC (1960s) to Montreal Aquarium (Late 1960s?) to Dolphin Research Center (23-Apr-1980)",Dolphin Research Center,Died,1980-04-26,Unknown,1964-01-01,5960.0
544,545,Bottlenose,"NOA0000152, TT10 (Montreal Aquarium)",Pierrot,M,estimate,1962,Capture,1964-01-01,Florida,"Florida, Unknown to Unknown Florida Facility, possible DRC (1960s) to Montreal Aquarium (Late 1960s?) to Dolphin Research Center (23-Apr-1980)",Dolphin Research Center,Died,1980-04-26,Stress,1964-01-01,5960.0
545,546,Bottlenose,NOA0004371,Sam,M,estimate,1957,Capture,1964-01-01,Florida Keys,Florida Keys to Dolphin Research Center (1960s),Dolphin Research Center,Died,1977-01-20,Unknown,1964-01-01,4768.0
546,547,Bottlenose,"NOA0004377, 009 (Flipper's Sea School)",Sonny,M,estimate,,Capture,1964-01-01,Florida,Unknown to Dolphin Research Center (??-???-????),Dolphin Research Center,Died,1973-06-04,Pneumonia,1964-01-01,3442.0
547,548,Bottlenose,"NOA0004385, AZA 36, IDR-72-3",Theresa,F,estimate,1960,Capture,1968-01-01,"Atlantic Ocean, FL?","Florida, Atlantic Ocean? to U.S. Navy MMP (1960s) to Dolphin Research Center (1968?) to Virgin Islands, Film Shoot (??-???-1989) to Escape, Virgin Islands (03-Mar-1989) to Re-Capture, Virgin Islands (04-Apr-1989) to Dolphin Research Center (??-???-1989)",Dolphin Research Center,Died,2011-05-04,Age-related health issues,1968-01-01,15829.0
548,549,Bottlenose,NOA0004374,Chauncey,M,estimate,1961,Capture,1971-11-02,Florida Keys,Florida Keys to Dolphin Research Center (02-Nov-1971),Dolphin Research Center,Died,1974-10-13,pneumonia,1971-11-02,1076.0
549,550,Bottlenose,"NOA0004381, AZA 62, IDR-74-1",Delphi,M,estimate,1967,Capture,1972-01-01,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to Audubon Zoo (",Dolphin Research Center,Died,2008-08-16,subacute bronchopneumonia,1972-01-01,13377.0
550,551,Bottlenose,NOA0004376,Poco,M,estimate,1967,Capture,1972-06-01,Florida Keys,Florida Keys to Dolphin Research Center (,Dolphin Research Center,Died,1975-08-18,Internal bleeding,1972-06-01,1173.0
551,552,Bottlenose,"NOA0004380, AZA 48, IDR-72-5",Bee,F,estimate,1965,Capture,1972-07-14,Florida Keys,Florida Keys to Dolphin Research Center (14-Jul-1972),Dolphin Research Center,Died,1989-11-30,multifactorial/gastrointestinal,1972-07-14,6348.0
552,553,Bottlenose,"NOA0000149, IDR_72-4",Shannon,F,estimate,1958,Capture,1972-07-14,Florida Keys,Florida Keys to Dolphin Research Center (14-Jul-1972),Dolphin Research Center,Died,1980-12-23,"severe, pre-natal uterine infection",1972-07-14,3084.0
553,554,Bottlenose,NOA0004375,Corky,F,actual,1973,Born,1973-08-01,Dolphin Research Center,,Dolphin Research Center,Died,1975-05-08,regetative endocarditis,1973-08-01,645.0
554,555,Bottlenose,"NOA0004384, AZA 1022, IDR-74-2",Natua,M,actual,1974,Born,1974-12-28,Dolphin Research Center,,Dolphin Research Center,Died,1991-10-01,hepatitis & cirrhosis,1974-12-28,6121.0
555,556,Bottlenose,"NOA0000146, IDR-75-1",Captain Gray,U,estimate,1961,Capture,1975-05-13,Florida Keys,Florida Keys to Dolphin Research Center (13-May-1975),Dolphin Research Center,Died,1983-09-13,-,1975-05-13,3045.0
556,557,Bottlenose,"NOA0000150, IDR-75-2",Longnose,F,estimate,1972,Capture,1975-05-13,Florida Keys,Florida Keys to Dolphin Research Center (13-May-1975),Dolphin Research Center,Died,1980-10-20,"pancreatic inflam.; fibrosis, gastritis",1975-05-13,1987.0
557,558,Bottlenose,"NOA0004387, AZA 114, IDR-77-1",Misty,F,estimate,1972,Capture,1975-05-13,Florida Keys,Florida Keys to Unknown (DRC or other?) (13-May-1975) to Dolphin Research Center (02-Oct-1977),Dolphin Research Center,Died,1993-07-21,hepatic insufficiency/failure,1975-05-13,6644.0
558,559,Bottlenose,NOA0004370,Mitchell,M,estimate,1969,Capture,1975-05-20,Florida Keys,Florida Keys to Dolphin Research Center (20-May-1975),Dolphin Research Center,Died,1976-12-22,Unknown,1975-05-20,582.0
559,560,Bottlenose,NOA0000729,Buie,M,estimate,,Capture,1975-05-20,Florida Keys,Florida Keys to Dolphin Research Center (20-May-1975) to New York Aquarium (02-Jun-1976) to Dolphin Research Center (1976 ~ 1983),Dolphin Research Center,Released?,1983-01-01,-,1975-05-20,2783.0
560,561,Bottlenose,NOA0000151,Moxie,M,actual,1976,Born,1976-09-05,Dolphin Research Center,,Dolphin Research Center,Died,1979-02-16,Mother-infant incompatibility,1976-09-05,894.0
561,562,Bottlenose,NOA0001123,Sabby,F,estimate,1973,Capture,1976-10-31,Florida Keys,Florida Keys to Dolphin Research Center (31-Oct-1976),Dolphin Research Center,Died,1976-12-18,Trematodes,1976-10-31,48.0
562,563,Bottlenose,"NOA0004388, TT30 (Montreal Aquarium)",Kim,F,estimate,1973,Capture,1976-11-04,Florida Keys,Florida Keys to Dolphin Research Center (04-Nov-1976) to Montreal Aquarium (~ 1976?) to Dolphin Research Center (23-Apr-1980),Dolphin Research Center,Died,1984-11-08,Unknown,1976-11-04,2926.0
563,564,Bottlenose,"NOA0004405, TT-579 (Navy), DRC-88-4",Arrow,F,estimate,1959,Capture,1977-08-17,"Atlantic Ocean, FL?","Florida, Atlantic Ocean? to U.S. Navy MMP (17-Aug-1977) to Long Marine Laboratory (11-Jul-1986) to Dolphin Research Center (30-Jun-1988)",Dolphin Research Center,Died,1988-07-16,subacute cystitis,1977-08-17,3986.0
564,565,Bottlenose,"NOA0000147, IDR-77-3",Ceti,M,actual,1977,Born,1977-11-16,Dolphin Research Center,,Dolphin Research Center,Died,1983-10-16,hemorrhagic enteritis/colitis,1977-11-16,2160.0
