,Unnamed: 0,species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,transfers,currently,status,statusDate,COD,entryDate,timespent,count
518,519,Bottlenose,"NOA0005006, AZA 276",Colebar,M,estimate,1981,Capture,1984-08-06,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy (27-Aug-1984) to Dolphin Connection (12-Mar-1997)",Dolphin Connection,Died,1997-07-13,Respiratory cryptococcosis,1984-08-06,4724.0,1
519,520,Bottlenose,"NOAA0005074, AZA 331, 03971M (CZS)",Sebastianwil,M,estimate,1983,Capture,1988-09-08,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy (15-Sep-1988) to Dolphin Connection (12-Mar-1997)",Dolphin Connection,Died,2012-04-12,Complications from pneumonia,1988-09-08,8617.0,1
520,521,Bottlenose,"NOA0002130, 11895501M",Benni,M,estimate,1986,Capture,1989-11-26,Florida Keys,Florida Keys to Dolphin Connection (26-Nov-1989),Dolphin Connection,Died,1990-02-14,Staphylococcal pneumonia,1989-11-26,80.0,1
524,525,Bottlenose,"NOA0003748, AZA 380, F88M-1 (Dolphin Quest)",Hobi,M,estimate,1985,Capture,1988-02-17,"Gulf of Mexico, FL, US","Florida, Gulf of Mexico to Unknown Holding (17-Feb-1988) to Dolphin Quest Hawaii (20-Aug-1988)",Dolphin Quest Hawai'i,Died,1999-07-26,Acute septicemia,1988-02-17,4177.0,1
525,526,Bottlenose,"NOA0003747, AZA 377, F88F-1 (Dolphin Quest)",Leilani,F,estimate,1985,Capture,1988-02-17,"Gulf of Mexico, FL, US","Florida, Gulf of Mexico to Unknown Holding (17-Feb-1988) to Dolphin Quest Hawaii (20-Aug-1988)",Dolphin Quest Hawai'i,Died,1999-10-04,Kidney obstruction,1988-02-17,4247.0,1
526,527,Bottlenose,NOA0003752,Kai,M,estimate,1985,Capture,1988-02-26,"Gulf of Mexico, FL, US","Florida, Gulf of Mexico to Unknown Holding (17-Feb-1988) to Dolphin Quest Hawaii (20-Aug-1988)",Dolphin Quest Hawai'i,Died,1989-04-09,Toxins (NA+ channel blockers),1988-02-26,408.0,1
527,528,Bottlenose,NOA0003750,Yoichi,M,estimate,1985,Capture,1988-02-26,"Gulf of Mexico, FL, US","Florida, Gulf of Mexico to Unknown Holding (17-Feb-1988) to Dolphin Quest Hawaii (20-Aug-1988)",Dolphin Quest Hawai'i,Died,1989-03-16,Toxins (NA+ channel blockers),1988-02-26,384.0,1
539,540,Bottlenose,"NOA0004383, AZA 675, IDR-72-1",Mr. Gipper,M,estimate,1949,Capture,1959-01-01,Florida Keys,Florida Keys to Dolphin Research Center (1960s),Dolphin Research Center,Died,1985-06-09,Pneumonia & complications of old age,1959-01-01,9656.0,1
540,541,Bottlenose,"NOA0004414, AZA 23, TT-013 (Navy), DRC-88-3",Josephine,F,estimate,1959,Capture,1963-01-01,"Atlantic Ocean, FL?","Florida, Atlantic Ocean? to U.S. Navy MMP (??-???-1963) to Long Marine Laboratory (11-Jul-1986) to Dolphin Research Center (30-Jun-1988)",Dolphin Research Center,Died,2003-01-13,Euthanasia,1963-01-01,14622.0,1
541,542,Bottlenose,NOA0004372,Charlie,M,estimate,1961,Capture,1964-01-01,Florida Keys,Florida Keys to Dolphin Research Center (1960s),Dolphin Research Center,Died,1973-03-26,Bacterial septicemia,1964-01-01,3372.0,1
542,543,Bottlenose,"NOA0004382, AZA 20, IDR-72-2",Little Bit,F,estimate,1958,Capture,1964-01-01,Florida Keys,Florida Keys to Dolphin Research Center (??-???-1964),Dolphin Research Center,Died,1991-02-18,Toxemia associated with left ovarian tumor,1964-01-01,9910.0,1
543,544,Bottlenose,"NOA0004373, 007 (Flipper's Sea School)",Patty,F,estimate,,Capture,1964-01-01,Florida,"Florida, Unknown to Unknown Florida Facility, possible DRC (1960s) to Montreal Aquarium (Late 1960s?) to Dolphin Research Center (23-Apr-1980)",Dolphin Research Center,Died,1980-04-26,Unknown,1964-01-01,5960.0,1
544,545,Bottlenose,"NOA0000152, TT10 (Montreal Aquarium)",Pierrot,M,estimate,1962,Capture,1964-01-01,Florida,"Florida, Unknown to Unknown Florida Facility, possible DRC (1960s) to Montreal Aquarium (Late 1960s?) to Dolphin Research Center (23-Apr-1980)",Dolphin Research Center,Died,1980-04-26,Stress,1964-01-01,5960.0,1
545,546,Bottlenose,NOA0004371,Sam,M,estimate,1957,Capture,1964-01-01,Florida Keys,Florida Keys to Dolphin Research Center (1960s),Dolphin Research Center,Died,1977-01-20,Unknown,1964-01-01,4768.0,1
546,547,Bottlenose,"NOA0004377, 009 (Flipper's Sea School)",Sonny,M,estimate,,Capture,1964-01-01,Florida,Unknown to Dolphin Research Center (??-???-????),Dolphin Research Center,Died,1973-06-04,Pneumonia,1964-01-01,3442.0,1
547,548,Bottlenose,"NOA0004385, AZA 36, IDR-72-3",Theresa,F,estimate,1960,Capture,1968-01-01,"Atlantic Ocean, FL?","Florida, Atlantic Ocean? to U.S. Navy MMP (1960s) to Dolphin Research Center (1968?) to Virgin Islands, Film Shoot (??-???-1989) to Escape, Virgin Islands (03-Mar-1989) to Re-Capture, Virgin Islands (04-Apr-1989) to Dolphin Research Center (??-???-1989)",Dolphin Research Center,Died,2011-05-04,Age-related health issues,1968-01-01,15829.0,1
548,549,Bottlenose,NOA0004374,Chauncey,M,estimate,1961,Capture,1971-11-02,Florida Keys,Florida Keys to Dolphin Research Center (02-Nov-1971),Dolphin Research Center,Died,1974-10-13,pneumonia,1971-11-02,1076.0,1
549,550,Bottlenose,"NOA0004381, AZA 62, IDR-74-1",Delphi,M,estimate,1967,Capture,1972-01-01,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to Audubon Zoo (",Dolphin Research Center,Died,2008-08-16,subacute bronchopneumonia,1972-01-01,13377.0,1
550,551,Bottlenose,NOA0004376,Poco,M,estimate,1967,Capture,1972-06-01,Florida Keys,Florida Keys to Dolphin Research Center (,Dolphin Research Center,Died,1975-08-18,Internal bleeding,1972-06-01,1173.0,1
551,552,Bottlenose,"NOA0004380, AZA 48, IDR-72-5",Bee,F,estimate,1965,Capture,1972-07-14,Florida Keys,Florida Keys to Dolphin Research Center (14-Jul-1972),Dolphin Research Center,Died,1989-11-30,multifactorial/gastrointestinal,1972-07-14,6348.0,1
552,553,Bottlenose,"NOA0000149, IDR_72-4",Shannon,F,estimate,1958,Capture,1972-07-14,Florida Keys,Florida Keys to Dolphin Research Center (14-Jul-1972),Dolphin Research Center,Died,1980-12-23,"severe, pre-natal uterine infection",1972-07-14,3084.0,1
555,556,Bottlenose,"NOA0000146, IDR-75-1",Captain Gray,U,estimate,1961,Capture,1975-05-13,Florida Keys,Florida Keys to Dolphin Research Center (13-May-1975),Dolphin Research Center,Died,1983-09-13,-,1975-05-13,3045.0,1
556,557,Bottlenose,"NOA0000150, IDR-75-2",Longnose,F,estimate,1972,Capture,1975-05-13,Florida Keys,Florida Keys to Dolphin Research Center (13-May-1975),Dolphin Research Center,Died,1980-10-20,"pancreatic inflam.; fibrosis, gastritis",1975-05-13,1987.0,1
557,558,Bottlenose,"NOA0004387, AZA 114, IDR-77-1",Misty,F,estimate,1972,Capture,1975-05-13,Florida Keys,Florida Keys to Unknown (DRC or other?) (13-May-1975) to Dolphin Research Center (02-Oct-1977),Dolphin Research Center,Died,1993-07-21,hepatic insufficiency/failure,1975-05-13,6644.0,1
558,559,Bottlenose,NOA0004370,Mitchell,M,estimate,1969,Capture,1975-05-20,Florida Keys,Florida Keys to Dolphin Research Center (20-May-1975),Dolphin Research Center,Died,1976-12-22,Unknown,1975-05-20,582.0,1
559,560,Bottlenose,NOA0000729,Buie,M,estimate,,Capture,1975-05-20,Florida Keys,Florida Keys to Dolphin Research Center (20-May-1975) to New York Aquarium (02-Jun-1976) to Dolphin Research Center (1976 ~ 1983),Dolphin Research Center,Released?,1983-01-01,-,1975-05-20,2783.0,1
561,562,Bottlenose,NOA0001123,Sabby,F,estimate,1973,Capture,1976-10-31,Florida Keys,Florida Keys to Dolphin Research Center (31-Oct-1976),Dolphin Research Center,Died,1976-12-18,Trematodes,1976-10-31,48.0,1
562,563,Bottlenose,"NOA0004388, TT30 (Montreal Aquarium)",Kim,F,estimate,1973,Capture,1976-11-04,Florida Keys,Florida Keys to Dolphin Research Center (04-Nov-1976) to Montreal Aquarium (~ 1976?) to Dolphin Research Center (23-Apr-1980),Dolphin Research Center,Died,1984-11-08,Unknown,1976-11-04,2926.0,1
563,564,Bottlenose,"NOA0004405, TT-579 (Navy), DRC-88-4",Arrow,F,estimate,1959,Capture,1977-08-17,"Atlantic Ocean, FL?","Florida, Atlantic Ocean? to U.S. Navy MMP (17-Aug-1977) to Long Marine Laboratory (11-Jul-1986) to Dolphin Research Center (30-Jun-1988)",Dolphin Research Center,Died,1988-07-16,subacute cystitis,1977-08-17,3986.0,1
566,567,Bottlenose,"NOA0001794, #4 (Cedar Point)",Breeze,F,estimate,1978,Capture,1980-01-13,Florida Keys,Florida Keys to Miami Seaquarium (13-Jan-1980) to Cedar Point (05-May-1980) to Dolphin Research Center (31-Mar-1998),Dolphin Research Center,Died,1998-06-28,liver failure,1980-01-13,6741.0,1
567,568,Bottlenose,"NOA0003416, F3 (Collector's ID)",Ubie,F,estimate,1975,Capture,1980-07-16,"Gulf of Mexico, FL?","Florida, Gulf Coast? to Marine Animal Productions (16-Jul-1980) to Dolphin Research Center (03-Nov-1980)",Dolphin Research Center,Died,1983-07-22,undetermined,1980-07-16,1101.0,1
568,569,Bottlenose,"NOA0004404, AZA 189, TT402",Kibby,M,estimate,1977,Capture,1981-04-22,"Texas, Gulf of Mexico","Texas, Gulf of Mexico to Sea-Arama Marineworld (22-Apr-1981) to National Aquarium in Baltimore (01-Aug-1981) to Dolphin Research Center (21-Nov-1981) to National Aquarium in Baltimore (??-Jun-1982) to Dolphin Research Center (11-Aug-1982)",Dolphin Research Center,Died,2013-01-25,viventricular heart failure with (apparent) acute decompensation,1981-04-22,11601.0,1
569,570,Bottlenose,"NOA0004409, AZA 188, TT 403",Aphrodite,F,estimate,1977,Capture,1981-07-15,"Texas, Gulf of Mexico","Texas, Gulf of Mexico to Sea-Arama Marineworld (15-Jul-1981) to National Aquarium in Baltimore (01-Aug-1981) to Dolphin Research Center (21-Nov-1981) to National Aquarium in Baltimore (??-Jun-1982) to Dolphin Research Center (11-Aug-1982)",Dolphin Research Center,Died,2000-05-08,-,1981-07-15,6872.0,1
571,572,Bottlenose,"NOA0004421,",Cindy,F,estimate,1977,Capture,1981-10-30,"Atlantic Ocean, FL","Florida, Atlantic Ocean to Ocean World Ft Lauderdale (30-Oct-1981) to Dolphin Research Center (28-Jun-1994)",Dolphin Research Center,Died,2000-01-17,multifactoral,1981-10-30,6653.0,1
573,574,Bottlenose,"NOA0004390, IDR-82-2",Nai'a'ili,M,estimate,,Rescue,1982-09-08,Florida Keys,Florida Keys to Dolphin Research Center (08-Sep-1982),Dolphin Research Center,Died,1987-06-24,"pulmonary, hepatic and myocardial",1982-09-08,1750.0,1
574,575,Bottlenose,NOA0004397,Captain,M,estimate,1980,Capture,1984-02-24,Florida Keys,Florida Keys to Dolphin Research Center (24-Feb-1984),Dolphin Research Center,Died,1985-06-22,meningitis and liver complications,1984-02-24,484.0,1
579,580,Bottlenose,"NOA0004402, AZA ????, S86F-3",Captiva,F,estimate,1983,Capture,1986-09-12,Florida Keys,Florida Keys to Dolphin Research Center (12-Sep-1986),Dolphin Research Center,Died,1989-10-21,multi-organ functional compromise,1986-09-12,1135.0,1
580,581,"Spotted, Atlantic","NOA0004423, SWF-SF-8691B",Stanley,M,estimate,,Rescue,1986-10-30,"Shell Island, FL, US","Shell Island, Florida to SeaWorld Orlando (30-Oct-1986) to Dolphin Research Center (02-Feb-1995)",Dolphin Research Center,Died,1998-02-06,regenerative anemia,1986-10-30,4117.0,1
582,583,"Spotted, Pantropical","NOA0004406, DRC-87-3",Dart,F,estimate,,Rescue,1987-10-24,Lower Matecumbe Key,Lower Matecumbe Key to Dolphin Research Center (24-Oct-1987),Dolphin Research Center,Died,1990-11-09,multifactorial,1987-10-24,1112.0,1
587,588,Bottlenose,"NOA0004463,",Buckbuk,M,estimate,1981,Capture,1989-08-07,"Atlantic Ocean, FL?","Florida, Atlantic Ocean? to U.S. Navy MMP (07-Aug-1989) to Sugarloaf Dolphin Sanctuary (30-Nov-1994) to Near Key West (23-May-1996) to Florida Keys (04-Jun-1996) to Dolphin Research Center (04-Jun-1996)",Dolphin Research Center,Died,1999-06-20,-,1989-08-07,3604.0,1
610,611,Bottlenose,"NOA0001904, AZA 203",Genie,F,estimate,1978,Capture,1981-03-04,Florida Keys,Florida Keys to Dolphins Plus Oceanside (04-Mar-1981) to Dolphins Plus Bayside (11-Jan-1998),Dolphins Plus Bayside,Died,2009-01-28,-,1981-03-04,10192.0,1
611,612,Bottlenose,"NOA0001908, AZA 266",Spunky,F,estimate,1981,Capture,1985-04-29,Florida Keys,Florida Keys to Dolphins Plus Oceanside (29-Apr-1985) to Dolphins Plus Bayside (25-Jan-1998),Dolphins Plus Bayside,Died,2008-09-26,-,1985-04-29,8551.0,1
612,613,Bottlenose,"NOA0001913, AZA 315",Dreamer,F,estimate,1983,Capture,1987-04-26,Florida Keys,Florida Keys to Dolphins Plus Oceanside (26-Apr-1987) to Dolphins Plus Bayside (01-Feb-1999),Dolphins Plus Bayside,Died,2002-10-31,Hepatic fibrosis,1987-04-26,5667.0,1
615,616,Bottlenose,"NOA0001903, AZA 202",Little Bit,M,estimate,1978,Capture,1981-03-02,Florida Keys,Florida Keys to Dolphins Plus (02-Mar-1981),Dolphins Plus Oceanside,Died,2010-11-12,Chronic liver issue (hemochromatosis),1981-03-02,10847.0,1
616,617,Bottlenose,"NOA0001905, AZA 204",Fonzie,M,estimate,1978,Capture,1981-07-27,Florida Keys,Florida Keys to Dolphins Plus (27-Jul-1981),Dolphins Plus Oceanside,Died,2004-03-11,Anaerobic septicemia,1981-07-27,8263.0,1
630,631,Bottlenose,"NOA0006374, AZA 1210, 0610 (Harbor Branch), MML-0624, TT0107 (Marine Mammal Conservancy)",Castaway,F,estimate,1988,Rescue,2006-11-10,"Vero Beach, FL","Vero Beach, Florida to Mote Marine Laboratory (10-Nov-2006) to Fort Pierce, Florida (30-Jan-2007) to Fort Pierce, Florida (30-Jan-2007) to Marine Mammal Conservancy (30-Jan-2007) to Dolphins Plus (25-Jul-2007)",Dolphins Plus Oceanside,Died,2010-01-18,-,2006-11-10,1165.0,1
633,634,Bottlenose,NOA0002236,Geno,M,estimate,,Capture,1985-01-24,Florida,"Florida, unknown to EPCOT Center (24-Jan-1985)",EPCOT The Seas,Died,1985-12-29,death due to anoxia,1985-01-24,339.0,1
634,635,Bottlenose,NOA0002238,Toby,M,estimate,1981,Capture,1985-01-24,Florida,"Florida, Unknown to EPCOT Center (24-Jan-1985)",EPCOT The Seas,Died,2002-05-10,bacterial septicemia,1985-01-24,6315.0,1
635,636,Bottlenose,NOA0002237,Tyke,M,estimate,,Capture,1985-01-24,Florida,"Florida, unknown to EPCOT Center (24-Jan-1985)",EPCOT The Seas,Died,1987-10-06,complications due to osteomyelitis,1985-01-24,985.0,1
636,637,Bottlenose,NOA0002239,Christie,F,estimate,,Capture,1985-05-02,Florida,"Florida, unknown to EPCOT Center (02-May-1985)",EPCOT The Seas,Died,1987-10-03,cerebellar hemorrhage,1985-05-02,884.0,1
637,638,Bottlenose,NOA0002240,Katie,F,estimate,1980,Capture,1985-05-08,Florida,"Florida, unknown to EPCOT Center (08-May-1985)",EPCOT The Seas,Died,1990-08-21,persistant thymus gland syndrome,1985-05-08,1931.0,1
638,639,Beluga,"NOA0000764, AZA 66, 06-665 (New York Aquarium)",Marina,F,estimate,1982,Capture,1987-07-25,"Hudson Bay, Canada","Hudson Bay, Manitoba to New York Aquarium (02-Aug-1987) to Georgia Aquarium (06-Nov-2005)",Georgia Aquarium,Died,2007-12-01,Lysomal storage disease,1987-07-25,7434.0,1
639,640,Beluga,"NOA0005587, AZA 98, 94-225 (New York Aquarium), M06010 (Georgia Aquarium)",Maris,F,actual,1994,Capture,1994-07-28,New York Aquarium,New York Aquarium to Mystic Aquarium (18-Dec-2002) to New York Aquarium (26-May-2004) to Georgia Aquarium (06-Nov-2005) to SeaWorld San Antonio (05-Oct-2009) to Georgia Aquarium (22-Feb-2010),Georgia Aquarium,Died,2015-10-22,Acute heart failure,1994-07-28,7756.0,1
640,641,Beluga,"NOA0006291, AZA 85, DL0501 (Georgia Aquarium)",Gasper,M,estimate,1991,Capture,1997-01-01,"Sea of Okhotsk, Russia","Okhotsk Sea, Russia to Utrish (~ 1997) to La Feria de Chapultapec (??-May-1998) to Georgia Aquarium (17-Oct-2005)",Georgia Aquarium,Died,2007-01-02,Euthanasia due to chronic health conditions,2005-10-17,3653.0,1
642,643,Bottlenose,TT-669,Sushi,F,estimate,1977,Capture,1984-08-07,"Mississippi, Gulf of Mexico","Mississippi, Gulf of Mexico to Holding, probably MAP (07-Aug-1984) to U.S. Navy MMP (27-Aug-1984) to Gulfarium (16-Sep-1994)",Gulfarium Marine Adventure,Died,1995-09-23,"Ruptured uterus, septic shock",1984-08-07,4064.0,1
643,644,Bottlenose,TT-670,Tiara,F,estimate,1976,Capture,1984-08-07,"Mississippi, Gulf of Mexico","Mississippi, Gulf of Mexico to Holding, probably MAP (07-Aug-1984) to U.S. Navy MMP (27-Aug-1984) to Gulfarium (16-Sep-1994)",Gulfarium Marine Adventure,Died,1995-11-13,Sepsis,1984-08-07,4115.0,1
644,645,Bottlenose,"NOA0003758, 880396",Rah,F,estimate,1985,Capture,1988-06-03,"Gulf of Mexico, FL, US","Gulf of Mexico, off Ft. Myers to Holding, Walker's Island (02-Jun-1988)",Indianapolis Zoo,Died,1988-06-05,Drowning,1988-06-03,2.0,1
645,646,Bottlenose,"NOA0003762, 880400",Phoenix,F,estimate,1985,Capture,1988-06-05,"Gulf of Mexico, FL, US","Gulf of Mexico, off Ft. Myers to Holding, Walker's Island (02-Jun-1988) to Indianapolis Zoo (11-Jan-1989) to Theater of the Sea (26-Oct-1991) to Indianapolis Zoo (08-Apr-1992)",Indianapolis Zoo,Died,2007-06-24,Myelinic edema,1988-06-05,6958.0,1
646,647,Bottlenose,"NOA0003761, 880399",Shiloh,F,estimate,1985,Capture,1988-06-05,"Gulf of Mexico, FL, US","Gulf of Mexico, off Ft. Myers to Holding, Walker's Island (02-Jun-1988) to Indianapolis Zoo (11-Jan-1989) to Theater of the Sea (26-Oct-1991) to Indianapolis Zoo (08-Apr-1992)",Indianapolis Zoo,Died,1997-05-23,"Sepsis, eosinophilic enteritis",1988-06-05,3274.0,1
